id,description
MOVE_PSYCHO_BOOST,"Attaque à pleine puissance,\nmais baisse ATQ. SPE."
MOVE_DARK_PULSE,"Attacks with a horrible\n    """"\n    ""    ""aura. May cause flinching."
MOVE_PSYCHO_CUT,"Tears with psychic blades.\n    """"\n    ""    ""High critical-hit ratio."
MOVE_FOCUS_BLAST,"Attacks at full power.\n    """"\n    ""    ""May lower Sp. Def."
MOVE_POWER_GEM,"Attacks with rays of light\n    """"\n    ""    ""that sparkle like diamonds."
MOVE_SHADOW_CLAW,"Strikes with a shadow claw.\n    """"\n    ""    ""High critical-hit ratio."
MOVE_FLASH_CANNON,"Releases a blast of light\n    """"\n    ""    ""that may lower Sp. Def."
MOVE_AIR_SLASH,"Attacks with a blade of\n    """"\n    ""    ""air. May cause flinching."
MOVE_BUG_BUZZ,"A damaging sound wave that\n    """"\n    ""    ""may lower Sp. Def."
MOVE_DRAGON_PULSE,"Generates a shock wave to\n    """"\n    ""    ""damage the foe."
MOVE_EARTH_POWER,"Makes the ground erupt with\n    """"\n    ""    ""power. May lower Sp. Def."
MOVE_PLAY_ROUGH,"Plays rough with the foe.\n    """"\n    ""    ""May lower ATTACK."
MOVE_MOONBLAST,"Attacks with the power of\n    """"\n    ""    ""the moon. May lower Sp. Atk."
MOVE_POISON_JAB,"A stabbing attack that\n    """"\n    ""    ""may poison the foe."
